School_Year,School_Name,Teacher_Name,Student_ID,Current_Grade,Test_Date,Test_Type,Scaled_Score,Percentile_Rank,Current_SGP
2020-2021 School Year,Kipp Columbus Primary,Teacher40,2997,1,9/8/2020,Star Math Enterprise Tests,87,1,1
2020-2021 School Year,Kipp Columbus Primary,Teacher39,2726,1,1/19/2021,Star Math Enterprise Tests,90,1,
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2683,1,1/19/2021,Star Math Enterprise Tests,92,1,1
2020-2021 School Year,Kipp Columbus Primary,Teacher39,2824,1,11/4/2020,Star Math Enterprise Tests,94,1,
2020-2021 School Year,Kipp Columbus Primary,Teacher39,2998,1,9/8/2020,Star Math Enterprise Tests,113,1,
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2999,1,11/4/2020,Star Math Enterprise Tests,119,1,
2020-2021 School Year,Kipp Columbus Primary,Teacher36,3002,1,9/17/2020,Star Math Enterprise Tests,123,1,
2020-2021 School Year,Kipp Columbus Primary,Teacher42,2950,1,9/9/2020,Star Math Enterprise Tests,126,2,
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2804,1,1/19/2021,Star Math Enterprise Tests,129,2,
2020-2021 School Year,Kipp Columbus Primary,Teacher36,2981,1,11/2/2020,Star Math Enterprise Tests,130,2,
2020-2021 School Year,Kipp Columbus Primary,Teacher39,2726,1,11/2/2020,Star Math Enterprise Tests,133,1,1
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2892,1,9/9/2020,Star Math Enterprise Tests,136,1,1
2020-2021 School Year,Kipp Columbus Primary,Teacher41,2811,1,9/8/2020,Star Math Enterprise Tests,141,1,1
2020-2021 School Year,Kipp Columbus Primary,Teacher41,2818,1,11/6/2020,Star Math Enterprise Tests,147,3,
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2770,1,9/9/2020,Star Math Enterprise Tests,148,1,1
2020-2021 School Year,Kipp Columbus Primary,Teacher39,2831,1,1/19/2021,Star Math Enterprise Tests,162,9,
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2804,1,11/4/2020,Star Math Enterprise Tests,162,2,17
2020-2021 School Year,Kipp Columbus Primary,Teacher39,2837,1,1/20/2021,Star Math Enterprise Tests,163,2,
2020-2021 School Year,Kipp Columbus Primary,Teacher36,2913,1,9/11/2020,Star Math Enterprise Tests,164,9,
2020-2021 School Year,Kipp Columbus Primary,Teacher35,2931,1,9/8/2020,Star Math Enterprise Tests,165,9,
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2892,1,9/10/2020,Star Math Enterprise Tests,166,2,1
2020-2021 School Year,Kipp Columbus Primary,Teacher35,2895,1,11/2/2020,Star Math Enterprise Tests,172,11,
2020-2021 School Year,Kipp Columbus Primary,Teacher41,3000,1,11/5/2020,Star Math Enterprise Tests,172,3,1
2020-2021 School Year,Kipp Columbus Primary,Teacher39,2726,1,9/14/2020,Star Math Enterprise Tests,172,8,
2020-2021 School Year,Kipp Columbus Primary,Teacher41,2666,1,9/8/2020,Star Math Enterprise Tests,173,8,
2020-2021 School Year,Kipp Columbus Primary,Teacher35,2798,1,1/19/2021,Star Math Enterprise Tests,173,11,
2020-2021 School Year,Kipp Columbus Primary,Teacher41,2764,1,9/15/2020,Star Math Enterprise Tests,176,9,
2020-2021 School Year,Kipp Columbus Primary,Teacher42,2659,1,1/21/2021,Star Math Enterprise Tests,179,12,
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2949,1,11/4/2020,Star Math Enterprise Tests,184,14,
2020-2021 School Year,Kipp Columbus Primary,Teacher43,2808,1,1/19/2021,Star Math Enterprise Tests,185,5,2
2020-2021 School Year,Kipp Columbus Primary,Teacher35,2798,1,1/19/2021,Star Math Enterprise Tests,185,14,
2020-2021 School Year,Kipp Columbus Primary,Teacher38,2737,1,11/13/2020,Star Math Enterprise Tests,186,5,1
2020-2021 School Year,Kipp Columbus Primary,Teacher41,2764,1,1/19/2021,Star Math Enterprise Tests,187,5,1
2020-2021 School Year,Kipp Columbus Primary,Teacher43,2878,1,1/19/2021,Star Math Enterprise Tests,187,11,
2020-2021 School Year,Kipp Columbus Primary,Teacher43,2815,1,11/13/2020,Star Math Enterprise Tests,189,6,7
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2949,1,1/19/2021,Star Math Enterprise Tests,192,6,12
2020-2021 School Year,Kipp Columbus Primary,Teacher42,2918,1,11/4/2020,Star Math Enterprise Tests,192,6,3
2020-2021 School Year,Kipp Columbus Primary,Teacher42,2945,1,1/21/2021,Star Math Enterprise Tests,194,16,
2020-2021 School Year,Kipp Columbus Primary,Teacher42,2950,1,9/8/2020,Star Math Enterprise Tests,194,6,1
2020-2021 School Year,Kipp Columbus Primary,Teacher38,2885,1,1/19/2021,Star Math Enterprise Tests,195,13,
2020-2021 School Year,Kipp Columbus Primary,Teacher41,2666,1,1/20/2021,Star Math Enterprise Tests,198,18,
2020-2021 School Year,Kipp Columbus Primary,Teacher43,2769,1,9/9/2020,Star Math Enterprise Tests,199,18,
2020-2021 School Year,Kipp Columbus Primary,Teacher40,2727,1,1/19/2021,Star Math Enterprise Tests,200,8,1
2020-2021 School Year,Kipp Columbus Primary,Teacher41,2811,1,11/4/2020,Star Math Enterprise Tests,201,8,1
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2770,1,11/4/2020,Star Math Enterprise Tests,201,14,
2020-2021 School Year,Kipp Columbus Primary,Teacher35,3046,1,9/8/2020,Star Math Enterprise Tests,202,19,
2020-2021 School Year,Kipp Columbus Primary,Teacher39,2814,1,1/19/2021,Star Math Enterprise Tests,202,14,
